State,Area Name,"Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016"
US,United States,"19.6","28.6","27.4","24.4","27,818,380","58,820,411","62,242,569","64,767,787","13.0","27.5","29.1","30.3"
AL,Alabama,"24.7","30.4","25.9","19.0","496,036","1,009,593","972,703","783,076","15.2","31.0","29.8","24.0"
AL,Autauga County,"21.3","33.8","26.9","18.0","4,528","12,519","10,451","8,968","12.4","34.3","28.7","24.6"
AL,Baldwin County,"18.0","29.6","29.3","23.1","13,956","40,154","44,486","41,350","10.0","28.7","31.8","29.5"
AL,Barbour County,"35.3","32.4","21.3","10.9","4,824","6,422","4,775","2,366","26.2","34.9","26.0","12.9"
AL,Bibb County,"36.8","35.7","20.4","7.1","3,040","6,586","4,234","1,890","19.3","41.8","26.9","12.0"
AL,Blount County,"29.6","36.0","24.8","9.6","7,882","13,003","13,436","5,151","20.0","32.9","34.0","13.1"
AL,Bullock County,"39.5","35.2","17.5","7.7","2,452","2,504","1,625","752","33.4","34.1","22.2","10.3"
AL,Butler County,"32.2","34.5","22.9","10.4","2,642","5,559","3,505","2,243","18.9","39.9","25.1","16.1"
AL,Calhoun County,"26.1","32.2","26.4","15.2","13,894","25,228","25,653","13,886","17.7","32.1","32.6","17.7"
AL,Chambers County,"35.8","32.1","22.5","9.5","4,708","9,401","6,767","2,978","19.7","39.4","28.4","12.5"
AL,Cherokee County,"36.5","34.9","18.9","9.7","3,499","6,722","5,863","2,610","18.7","36.0","31.4","14.0"
AL,Chilton County,"33.8","35.8","20.5","9.9","5,918","12,267","7,133","4,417","19.9","41.3","24.0","14.9"
AL,Choctaw County,"35.0","34.7","20.6","9.6","1,998","3,520","2,800","1,130","21.1","37.3","29.6","12.0"
AL,Clarke County,"29.2","37.7","21.1","12.1","3,227","7,680","4,049","2,066","19.0","45.1","23.8","12.1"
AL,Clay County,"34.0","37.8","20.4","7.8","2,398","3,266","2,737","1,045","25.4","34.6","29.0","11.1"
AL,Cleburne County,"37.1","35.8","17.8","9.2","2,676","3,936","2,559","1,195","25.8","38.0","24.7","11.5"
AL,Coffee County,"26.8","26.2","27.6","19.3","5,145","10,157","11,120","8,192","14.9","29.3","32.1","23.7"
AL,Colbert County,"26.7","33.9","25.3","14.1","6,344","13,337","11,521","7,069","16.6","34.8","30.1","18.5"
AL,Conecuh County,"32.3","38.1","20.3","9.2","1,812","4,070","2,163","763","20.6","46.2","24.6","8.7"
AL,Coosa County,"34.3","38.3","19.3","8.0","2,140","2,873","2,108","786","27.1","36.3","26.7","9.9"
AL,Covington County,"31.6","33.0","23.2","12.2","5,051","9,115","8,373","3,953","19.1","34.4","31.6","14.9"
AL,Crenshaw County,"39.9","29.0","19.9","11.2","2,071","3,680","2,401","1,399","21.7","38.5","25.1","14.6"
AL,Cullman County,"29.6","32.0","26.5","11.9","10,050","19,784","18,058","8,431","17.8","35.1","32.1","15.0"
AL,Dale County,"22.2","29.2","34.6","14.0","4,726","11,033","12,243","5,361","14.2","33.1","36.7","16.1"
AL,Dallas County,"29.7","33.6","22.9","13.9","5,673","9,857","7,781","3,727","21.0","36.5","28.8","13.8"
AL,DeKalb County,"36.2","34.0","21.5","8.3","12,981","16,259","12,808","5,392","27.4","34.3","27.0","11.4"
AL,Elmore County,"22.4","33.8","27.2","16.6","7,238","19,476","16,016","12,220","13.2","35.4","29.1","22.2"
AL,Escambia County,"31.5","34.7","23.2","10.6","5,035","11,189","6,543","2,995","19.5","43.4","25.4","11.6"
AL,Etowah County,"25.9","32.3","28.4","13.4","12,582","23,334","23,956","11,824","17.5","32.5","33.4","16.5"
AL,Fayette County,"33.9","35.0","21.9","9.2","2,452","4,609","3,075","1,670","20.8","39.0","26.0","14.1"
AL,Franklin County,"37.9","30.5","21.9","9.7","5,092","7,678","5,565","2,593","24.3","36.7","26.6","12.4"
AL,Geneva County,"34.4","32.0","25.0","8.7","4,196","6,762","5,654","2,193","22.3","36.0","30.1","11.7"
AL,Greene County,"35.2","34.9","19.4","10.5","1,375","2,444","1,551","595","23.1","41.0","26.0","10.0"
AL,Hale County,"34.8","35.9","21.2","8.1","1,903","4,377","2,514","1,435","18.6","42.8","24.6","14.0"
AL,Henry County,"33.3","29.1","23.5","14.1","2,359","4,417","3,472","1,973","19.3","36.1","28.4","16.1"
AL,Houston County,"23.5","30.4","27.7","18.4","10,684","22,738","22,476","14,875","15.1","32.1","31.8","21.0"
AL,Jackson County,"33.0","34.9","21.7","10.4","7,615","15,270","9,565","4,669","20.5","41.1","25.8","12.6"
