State,2013,2012
Guam,"51","22"
New York,"4,045","4,324"
Maine,"159","222"
North Dakota,"110","81"
Delaware,"65","84"
South Carolina,"453","388"
Wisconsin,"449","377"
Kentucky,"394","497"
Missouri,"695","906"
Massachusetts,"1,577","1,500"
New Jersey,"1,002","881"
Indiana,"511","461"
Michigan,"969","1,174"
Alaska,"166","273"
Iowa,"277","270"
Arizona,"1,064","1,605"
Pennsylvania,"1,536","1,564"
Illinois,"1,403","2,079"
Nevada,"884","1,996"
Utah,"347","331"
South Dakota,"117","113"
Nebraska,"339","396"
Idaho,"193","200"
Washington,"1,927","2,041"
Minnesota,"915","1,004"
Montana,"210","304"
Kansas,"304","307"
North Carolina,"1,451","1,465"
Vermont,"183","190"
Ohio,"1,677","1,788"
Colorado,"1,354","1,612"
Oklahoma,"617","481"
New Mexico,"399","973"
Arkansas,"565","361"
Maryland,"1,249","1,259"
New Hampshire,"226","237"
Georgia,"2,713","3,016"
Texas,"4,770","6,115"
Florida,"7,778","8,682"
Hawaii,"1,031","910"
Alabama,"768","910"
Virginia,"1,262","1,531"
Mississippi,"408","450"
West Virginia,"390","346"
Rhode Island,"243","148"
Oregon,"2,444","2,782"
US Virgin Islands,"87","193"
Louisiana,"1,015","2,743"
Connecticut,"872","924"
Tennessee,"1,929","2,114"
Wyoming,"221","375"
District of Columbia,"1,764","1,870"
California,"35,386","33,422"
Puerto Rico,"1,629","1,597"
Alabama,"495","497"
Alaska,"196","216"
Arizona,"1,291","1,465"
Arkansas,"218","266"
California,"8,267","8,076"
Colorado,"1,444","3,104"
Connecticut,"475","449"
Delaware,"119","128"
District of Columbia,"983","1,014"
Florida,"5,806","6,333"
Georgia,"1,257","1,779"
Guam,"167","165"
Hawaii,"736","792"
Idaho,"211","246"
Illinois,"1,730","1,905"
Indiana,"739","955"
Iowa,"495","466"
Kansas,"387","346"
Kentucky,"672","667"
Louisiana,"415","474"
Maine,"494","376"
Maryland,"997","1,300"
Massachusetts,"4,327","3,887"
Michigan,"1,412","1,703"
Minnesota,"1,338","1,311"
Mississippi,"192","221"
Missouri,"1,259","1,745"
Montana,"207","192"
Nebraska,"397","514"
Nevada,"319","343"
New Hampshire,"229","240"
New Jersey,"1,994","2,247"
New Mexico,"323","348"
New York,"13,675","12,170"
North Carolina,"1,520","1,633"
North Dakota,"244","70"
Ohio,"1,501","1,943"
Oklahoma,"426","519"
Oregon,"1,524","2,110"
Pennsylvania,"2,409","2,476"
Puerto Rico,"185","297"
Rhode Island,"177","182"
South Carolina,"640","551"
South Dakota,"154","119"
Tennessee,"880","833"
Texas,"2,826","4,511"
US Virgin Islands,"11","16"
Utah,"406","445"
Vermont,"262","172"
Virginia,"984","1,094"
Washington,"2,217","2,871"
West Virginia,"228","243"
Wisconsin,"1,016","961"
Wyoming,"84","171"
Alabama,"4,689","5,209"
Alaska,"1,946","1,913"
Arizona,"10,562","11,302"
Arkansas,"3,812","4,214"
California,"136,826","130,898"
Colorado,"9,754","16,768"
Connecticut,"4,448","4,209"
Delaware,"946","1,008"
District of Columbia,"6,865","6,954"
Florida,"47,862","55,170"
Georgia,"16,971","20,516"
Guam,"1,271","1,301"
Hawaii,"6,335","6,246"
Idaho,"1,781","1,968"
Illinois,"13,425","14,144"
Indiana,"6,096","6,259"
Iowa,"3,084","2,928"
Kansas,"2,693","2,684"
Kentucky,"5,245","5,230"
Louisiana,"5,226","7,772"
Maine,"3,016","2,393"
Maryland,"8,205","9,454"
Massachusetts,"19,029","17,501"
Michigan,"11,527","12,592"
Minnesota,"8,214","7,744"
Mississippi,"2,403","2,413"
Missouri,"8,581","10,237"
Montana,"1,878","1,833"
Nebraska,"3,145","3,789"
Nevada,"8,443","9,926"
New Hampshire,"1,447","1,496"
New Jersey,"12,002","13,025"
New Mexico,"2,819","3,245"
New York,"77,430","69,566"
North Carolina,"12,168","13,524"
North Dakota,"2,069","688"
Ohio,"12,325","13,977"
Oklahoma,"4,408","5,032"
Oregon,"13,822","15,828"
Pennsylvania,"15,086","14,736"
Puerto Rico,"4,128","3,212"
Rhode Island,"1,384","1,277"
South Carolina,"6,544","4,915"
South Dakota,"1,094","859"
Tennessee,"9,528","9,426"
Texas,"29,615","34,052"
US Virgin Islands,"482","484"
Utah,"3,277","3,527"
Vermont,"1,454","1,160"
Virginia,"7,625","8,424"
Washington,"17,760","20,504"
West Virginia,"2,240","2,410"
Wisconsin,"6,104","6,027"
Wyoming,"953","1,813"
US Virgin Islands,"38","46"
Nevada,"846","1,010"
Puerto Rico,"658","718"
Arkansas,"638","786"
California,"25,094","25,210"
Georgia,"4,091","5,153"
Louisiana,"1,318","1,450"
Mississippi,"650","619"
Tennessee,"2,619","2,521"
South Carolina,"1,808","1,588"
Alabama,"1,302","1,384"
Oklahoma,"1,229","1,578"
Wyoming,"276","511"
Texas,"8,857","13,309"
Alaska,"584","615"
Connecticut,"1,347","1,303"
West Virginia,"696","668"
Florida,"16,503","18,399"
Oregon,"4,828","6,040"
Montana,"667","667"
Maryland,"2,984","3,727"
New Mexico,"1,033","1,109"
Kentucky,"1,943","1,948"
Michigan,"4,291","5,195"
