State,Area Name,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017
US,United States,"4.6","5.8","9.3","9.6","9.0","8.1","7.4","6.2","5.3","4.9","4.4"
AL,Alabama,"4.0","5.7","11.0","10.5","9.6","8.0","7.2","6.8","6.0","5.9","4.4"
AL,Autauga County,"3.3","5.1","9.7","8.9","8.4","6.9","6.2","5.8","5.0","5.1","3.9"
AL,Baldwin County,"3.1","4.6","9.8","10.0","9.0","7.5","6.6","6.1","6.0","5.4","4.0"
AL,Barbour County,"6.3","8.8","14.3","12.3","11.5","11.5","10.2","10.5","9.0","8.4","5.9"
AL,Bibb County,"4.1","5.8","13.3","11.4","10.5","8.5","7.9","7.2","7.0","6.5","4.4"
AL,Blount County,"3.2","4.7","10.0","9.8","8.7","6.9","6.3","6.1","5.0","5.4","4.0"
AL,Bullock County,"9.4","10.5","15.6","11.8","11.6","10.4","9.4","8.8","8.0","6.9","4.9"
AL,Butler County,"6.2","8.5","16.4","13.6","12.5","11.5","10.3","8.5","8.0","6.9","5.5"
AL,Calhoun County,"3.9","5.7","11.1","11.4","10.3","8.9","8.8","8.0","7.0","6.6","4.9"
AL,Chambers County,"6.5","14.4","19.6","14.9","12.0","9.9","8.0","6.7","6.0","5.5","4.1"
AL,Cherokee County,"4.2","5.7","11.7","10.6","9.7","8.0","6.6","5.8","6.0","5.1","4.1"
AL,Chilton County,"3.4","5.1","10.6","10.3","9.1","7.2","6.6","6.3","6.0","5.5","4.0"
AL,Choctaw County,"5.9","8.3","13.5","13.3","13.1","10.3","9.2","9.0","9.0","8.5","6.4"
AL,Clarke County,"6.1","9.0","16.5","19.9","18.8","15.0","13.8","12.2","12.0","10.9","8.5"
AL,Clay County,"5.5","7.9","16.7","14.5","11.8","9.4","8.3","7.1","6.0","6.0","4.4"
AL,Cleburne County,"3.7","5.1","10.2","10.0","9.7","8.2","7.7","6.6","6.0","6.0","4.5"
AL,Coffee County,"3.8","4.8","8.5","8.6","8.1","7.0","6.9","6.6","6.0","5.9","4.4"
AL,Colbert County,"4.6","6.5","11.6","11.5","10.2","8.8","8.2","8.3","8.0","7.0","5.2"
AL,Conecuh County,"6.4","9.4","19.9","17.2","15.2","11.9","10.7","10.3","9.0","8.4","6.1"
AL,Coosa County,"5.8","8.3","16.0","15.4","12.5","9.4","9.2","8.8","7.0","6.0","4.6"
AL,Covington County,"3.9","5.9","10.8","10.3","9.8","8.4","8.1","7.8","7.0","6.8","5.2"
AL,Crenshaw County,"4.3","5.6","10.4","10.2","9.9","8.3","7.7","6.9","6.0","5.9","4.5"
AL,Cullman County,"3.4","4.9","10.3","10.4","9.5","7.7","6.7","6.1","5.0","5.0","3.7"
AL,Dale County,"4.0","5.4","9.6","8.8","8.3","7.4","7.4","7.1","6.0","5.8","4.4"
AL,Dallas County,"8.3","11.1","21.1","16.9","15.1","12.9","12.2","11.2","10.0","9.2","7.5"
AL,DeKalb County,"4.3","5.8","14.3","12.7","11.8","9.0","7.6","6.9","6.0","6.1","4.5"
AL,Elmore County,"3.3","5.1","9.5","9.1","8.4","6.9","6.2","5.7","5.0","4.8","3.6"
AL,Escambia County,"5.3","7.6","13.5","11.8","10.8","9.2","8.6","8.0","7.0","6.7","5.0"
AL,Etowah County,"4.5","6.0","11.5","10.9","10.0","8.2","7.6","7.0","6.0","5.9","4.6"
AL,Fayette County,"4.7","7.2","14.0","13.0","11.1","8.6","8.3","7.8","7.0","6.7","4.7"
AL,Franklin County,"4.6","7.4","13.4","10.7","9.6","8.4","8.0","7.7","6.0","5.9","4.2"
AL,Geneva County,"3.5","5.5","10.8","10.4","9.2","7.6","7.0","6.7","6.0","5.8","4.3"
AL,Greene County,"6.4","8.5","15.3","17.3","17.3","13.6","12.8","12.5","11.0","10.0","7.7"
AL,Hale County,"5.4","7.4","14.3","15.1","13.8","11.5","11.6","9.9","8.0","7.7","5.9"
AL,Henry County,"5.4","7.7","11.2","10.9","9.7","8.3","7.7","7.5","7.0","6.5","4.9"
AL,Houston County,"3.3","4.9","9.3","9.1","8.6","7.5","6.9","6.8","6.0","5.8","4.3"
AL,Jackson County,"4.5","6.2","12.8","11.8","10.3","8.6","7.9","7.3","7.0","6.3","4.8"
AL,Jefferson County,"3.9","5.4","10.8","10.3","9.3","7.4","6.7","6.3","6.0","5.7","4.2"
AL,Lamar County,"6.3","8.0","16.0","13.2","9.7","7.5","7.0","7.0","6.0","5.6","4.2"
AL,Lauderdale County,"4.3","5.7","10.7","10.1","9.1","7.7","7.1","7.2","7.0","6.4","4.6"
AL,Lawrence County,"4.1","6.5","13.6","12.6","10.9","9.0","8.3","8.2","8.0","6.9","4.9"
AL,Lee County,"3.6","5.2","9.4","9.0","8.1","6.8","5.9","5.6","5.0","5.2","3.9"
AL,Limestone County,"3.3","4.7","9.8","9.6","8.6","6.9","6.3","6.1","6.0","5.3","4.0"
AL,Lowndes County,"7.5","10.9","19.3","18.5","17.7","15.4","14.1","12.8","12.0","10.6","8.0"
AL,Macon County,"5.4","7.4","12.2","14.8","14.0","10.7","9.6","9.1","8.0","7.6","5.8"
AL,Madison County,"3.1","4.2","8.0","8.3","8.3","6.9","6.3","6.2","6.0","5.1","3.8"
AL,Marengo County,"5.3","7.4","14.2","13.7","12.6","10.2","8.9","8.0","8.0","7.2","5.7"
AL,Marion County,"5.2","8.0","16.6","13.6","11.2","8.9","7.9","7.9","7.0","6.6","4.8"
AL,Marshall County,"3.4","4.7","10.2","9.6","9.4","7.8","6.8","6.7","6.0","5.3","3.8"
AL,Mobile County,"4.0","5.7","11.3","11.3","10.8","9.2","8.5","7.7","7.0","6.6","5.2"
AL,Monroe County,"6.4","10.2","19.5","18.1","15.7","12.5","11.9","11.1","10.0","9.1","6.7"
AL,Montgomery County,"4.1","5.9","10.5","10.0","9.7","8.1","7.3","6.9","6.0","5.7","4.3"
AL,Morgan County,"3.5","5.2","10.8","10.8","9.4","7.8","6.9","6.6","6.0","5.5","4.1"
AL,Perry County,"8.4","11.3","19.9","16.8","16.5","13.3","13.5","12.1","10.0","10.3","7.9"
AL,Pickens County,"5.0","7.1","13.7","13.1","12.0","10.2","9.3","8.2","7.0","6.9","5.3"
AL,Pike County,"4.0","4.9","9.5","9.4","8.9","8.0","7.6","7.4","7.0","6.5","4.9"
AL,Randolph County,"5.1","7.3","14.9","13.4","11.4","9.2","7.8","6.7","6.0","5.6","4.4"
AL,Russell County,"6.1","8.0","12.3","10.9","10.3","8.8","7.2","6.5","6.0","5.6","4.3"
AL,St. Clair County,"3.4","5.0","10.9","10.1","8.8","6.9","6.1","5.8","5.0","5.2","4.0"
AL,Shelby County,"2.6","3.7","7.8","7.1","6.2","5.0","4.6","4.5","4.0","4.3","3.2"
AL,Sumter County,"6.5","8.7","14.9","13.3","13.1","10.5","9.0","8.5","8.0","7.7","6.5"
AL,Talladega County,"5.2","7.2","14.4","13.5","11.6","9.4","8.6","7.8","7.0","6.6","5.0"
AL,Tallapoosa County,"5.3","7.2","13.6","13.1","11.4","8.6","8.1","7.5","6.0","5.6","4.2"
AL,Tuscaloosa County,"3.3","4.7","10.2","9.2","8.3","7.0","6.4","5.9","5.0","5.7","4.1"
AL,Walker County,"4.3","5.7","11.6","12.7","11.3","9.2","8.5","7.9","7.0","7.5","5.0"
AL,Washington County,"5.9","8.4","15.1","14.2","14.6","11.9","10.9","9.6","9.0","8.6","6.8"
AL,Wilcox County,"9.7","14.0","26.0","26.3","23.2","19.9","19.3","16.9","15.0","14.4","11.4"
AL,Winston County,"5.6","8.7","17.7","16.0","13.5","10.0","9.4","8.6","8.0","7.1","5.0"
AK,Alaska,"6.3","6.7","7.7","7.9","7.6","7.1","7.0","6.9","7.0","6.9","7.2"
AK,Aleutians East Borough,"8.0","8.7","9.9","5.6","6.2","6.8","6.0","4.5","3.0","2.7","2.5"
AK,Aleutians West Census Area,"5.4","5.8","7.0","5.1","5.8","6.9","6.9","4.8","4.0","3.3","3.6"
AK,Anchorage Borough/municipality,"5.1","5.4","6.5","6.6","6.0","5.4","5.2","5.2","5.0","5.6","6.0"
AK,Bethel Census Area,"12.8","13.9","14.1","14.6","15.0","15.4","16.2","16.1","14.0","14.3","13.8"
AK,Bristol Bay Borough,"4.7","4.9","4.8","9.7","8.9","9.8","8.8","8.0","9.0","7.0","6.3"
AK,Denali Borough,"6.2","6.1","8.3","11.9","13.7","13.8","12.5","10.3","9.0","9.1","9.4"
AK,Dillingham Census Area,"9.1","9.3","10.2","10.1","10.6","9.9","10.2","10.0","10.0","9.7","9.3"
AK,Fairbanks North Star Borough,"5.6","6.1","7.1","6.6","6.4","6.1","5.9","5.8","6.0","5.9","6.3"
AK,Haines Borough,"7.4","8.8","9.0","10.6","10.0","10.0","10.2","10.7","10.0","10.3","9.1"
AK,Juneau Borough/city,"4.5","4.8","5.9","5.9","5.6","5.1","5.0","5.1","5.0","4.5","4.7"
AK,Kenai Peninsula Borough,"7.9","8.2","9.8","10.0","9.5","8.6","8.0","7.9","8.0","8.6","8.5"
